n,Simple,Up to Average,extractMax,Heap Sort,Partition,Partition DP
20,0.013199,0.014664,0.138827,0.216551,237.398098,154.13039
19,0.032263,0.01662,0.106565,0.252725,110.259407,162.873594
18,0.014176,0.019553,0.10852,0.075769,54.565594,189.115429
17,0.005866,0.005866,0.05426,0.174023,30.132428,177.360545
16,0.014176,0.015154,0.082124,0.071858,10.73323,161.365066
15,0.005866,0.014176,0.314806,0.076258,13.548887,78.914192
14,0.013198,0.015153,0.069414,0.053283,2.177246,102.558387
13,0.004888,0.005377,0.038129,0.031774,0.996235,55.866369
12,0.015642,0.017597,0.152515,0.064036,0.788482,61.602784
11,0.005866,0.004889,0.032751,0.027374,0.324583,58.326159
10,0.0044,0.003911,0.028841,0.023463,0.107542,33.779586
9,0.005866,0.004888,0.026397,0.021019,0.052794,32.207021
8,0.004399,0.004399,0.023464,0.019064,0.027374,36.340564
7,0.013198,0.013688,0.051816,0.038129,0.014665,23.479948
6,0.0044,0.004399,0.016621,0.031285,0.008799,16.861196
5,0.014176,0.013687,0.038617,0.027864,0.006355,13.260478
4,0.014665,0.013687,0.195532,0.117319,0.004399,17.132497
3,0.003422,0.003422,0.007822,0.005377,0.003422,3.257071
2,0.002933,0.011732,0.006355,0.014176,0.002933,2.065793
1,0.002444,0.023953,0.004888,0.003422,0.002933,1.180035
